,created_at,hours,full_text
61,2021-02-03 17:56:18+00:00,17.938333333333333,"This is the latest manipulative take on the right.

They are manipulating the fact that most people don’t know the layout the Capitol complex.

We were all on the Capitol complex - the attack wasn’t just on the dome.

The bombs Trump supporters planted surrounded our offices too. https://t.co/jI18e0XRrd"
62,2021-02-03 17:49:06+00:00,17.81833333333333,"To survivors of any trauma who worry about being believed, or that their situation wasn’t “bad” enough or “too” bad, or fear being branded or deemed “manipulative” for telling the truth: I see you.

Community is here for you. You are safe with me, &amp; with all of us. You are loved!"
63,2021-02-03 14:39:43+00:00,14.661944444444444,"Good morning everyone! 🌞

I’m teaching my once-a-term digital / social media session for members of Congress today.

Help me help them! What do you wish you saw more of digitally from your elected officials? Who’s doing a great job that you think others can learn from? Lmk ⬇️"
64,2021-02-02 23:49:02+00:00,23.81722222222222,@RavMABAY Thank you Rabbi 💜
65,2021-02-02 23:43:26+00:00,23.723888888888887,"Republicans demanding that accountability is “divisive” and that we must “move on” from the attack on our country without recourse are taking a page from the playbooks of abusers.

It’s sadly unsurprising. After 4 years of fealty to Trump, it seems many GOP have turned into him. https://t.co/McADMwnmCE"
66,2021-02-02 23:32:42+00:00,23.545,"Senator Ted Cruz deliberately and knowingly amplified specific lies fueling violent attackers. In doing so, he contributed to the carnage of Jan 6th. His actions since show that if given similar political opportunity, he would choose to do it again.

He must resign. Texans agree. https://t.co/Oqw0kHWggg"
67,2021-02-02 05:21:24+00:00,5.3566666666666665,"RT @MondaireJones: I shared @AOC’s concern about being locked in the same room as my Republican colleagues on January 6th.

They had incite…"
68,2021-02-02 04:56:18+00:00,4.9383333333333335,"RT @MikeSpangenberg: One of the many important points @AOC made on IG tonight was that without accountability, when given the opportunity,…"
69,2021-02-02 04:55:01+00:00,4.916944444444445,"RT @hannahgais: .@AOC now on Cruz et al.: ""We are not safe with people who hold positions of power who are willing to endanger the lives of…"
70,2021-02-02 04:50:26+00:00,4.8405555555555555,@IlhanMN 💜
71,2021-02-02 04:48:03+00:00,4.800833333333333,"RT @Sifill_LDF: Are you hearing @RepKatiePorter describe how  @aoc took shelter in Porter’s office on Jan. 6th on @TheLastWord? 
Porter: I’…"
